index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
1207,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1207,111,37
1201,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1201,105,37
1299,0.13503570007615365,0.183888470622934,0.21094168014168224,0.004673973894470706,0.0031711811861895793,492,1299,176,34
1194,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1194,98,37
1206,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1206,110,37
1301,0.13503570007615365,0.183888470622934,0.21094168014168224,0.004673973894470706,0.0031711811861895793,492,1301,178,34
1192,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1192,96,37
1298,0.13503570007615365,0.183888470622934,0.21094168014168224,0.004673973894470706,0.0031711811861895793,492,1298,175,34
1209,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1209,113,37
1202,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1202,106,37
1199,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1199,103,37
1200,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1200,104,37
1198,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1198,102,37
1196,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1196,100,37
1204,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1204,108,37
1300,0.13503570007615365,0.183888470622934,0.21094168014168224,0.004673973894470706,0.0031711811861895793,492,1300,177,34
1302,0.13503570007615365,0.18784053850367852,0.22729961915575234,0.00447863304021841,0.0031711811861895793,490,1302,179,35
1303,0.13503570007615365,0.18784053850367852,0.22729961915575234,0.00447863304021841,0.0031711811861895793,490,1303,180,35
1205,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1205,109,37
1195,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1195,99,37
1193,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1193,97,37
1203,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1203,107,37
1297,0.13503570007615365,0.183888470622934,0.21094168014168224,0.004673973894470706,0.0031711811861895793,492,1297,174,34
1208,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1208,112,37
1197,0.1264544498893903,0.17903262308023182,0.23802715417331113,0.0047543300186061645,0.0030273392844220553,449,1197,101,37
